LF,flow_x,flow_y,flow_z,parcel_size,dom_x,dom_y,dom_z,quads,rk_order,ftts,cost,rho
lf-1/lf95,128,16,32,10,32,16,8,86,4,3,24833.401,0.9442210018
lf-1/lf96,128,16,32,10,32,16,8,50,4,3,24879.679,0.9409901859
lf-1/lf97,128,16,32,10,32,8,16,86,4,3,24872.13,0.9150637389
lf-1/lf98,128,16,32,10,32,8,16,50,4,3,25506.697,0.9389313037
lf-1/lf99,128,16,32,10,32,8,8,86,4,3,24652.945,0.9428718543
lf-1/lf100,128,16,32,10,32,8,8,50,4,3,25152.334,0.9312944172
lf-1/lf101,128,16,32,10,0,0,0,0,4,3,21530.117,0.9581892724
lf-1/lf102,128,16,16,100,64,16,16,86,4,3,26244.972,0.8751786626
lf-1/lf103,128,16,16,100,64,16,16,50,4,3,30760.947,0.8851723852
lf-1/lf104,128,16,16,100,64,16,8,86,4,3,25334.946,0.8942413856
lf-1/lf105,128,16,16,100,64,16,8,50,4,3,25593.718,0.9099974759
lf-1/lf106,128,16,16,100,64,8,16,86,4,3,25428.063,0.8940518626
lf-1/lf107,128,16,16,100,64,8,16,50,4,3,25542.352,0.9229307584
lf-1/lf108,128,16,16,100,64,8,8,86,4,3,26836.335,0.8930069047
lf-1/lf109,128,16,16,100,64,8,8,50,4,3,26304.406,0.8785941634
lf-1/lf110,128,16,16,100,32,16,16,86,4,3,24469.45,0.8889434287
lf-1/lf111,128,16,16,100,32,16,16,50,4,3,24735.762,0.8959112824
lf-1/lf112,128,16,16,100,32,16,8,86,4,3,24442.565,0.8853370178
lf-1/lf113,128,16,16,100,32,16,8,50,4,3,24535.461,0.8743274634
lf-1/lf114,128,16,16,100,32,8,16,86,4,3,24377.591,0.8858289556
lf-1/lf115,128,16,16,100,32,8,16,50,4,3,25103.904,0.8929388107
lf-1/lf116,128,16,16,100,32,8,8,86,4,3,24025.393,0.9143220385
lf-1/lf117,128,16,16,100,32,8,8,50,4,3,24478.035,0.9104486615
lf-1/lf118,128,16,16,100,0,0,0,0,4,3,21599.296,0.9326326525
lf-1/lf119,128,16,16,10,64,16,16,86,4,3,26246.532,0.9060916516
lf-1/lf120,128,16,16,10,64,16,16,50,4,3,27568.543,0.9061637886
lf-1/lf121,128,16,16,10,64,16,8,86,4,3,25543.212,0.8965079578
lf-1/lf122,128,16,16,10,64,16,8,50,4,3,25931.99,0.8931708327
lf-1/lf123,128,16,16,10,64,8,16,86,4,3,25601.763,0.8751489523
lf-1/lf124,128,16,16,10,64,8,16,50,4,3,25842.133,0.917996118
lf-1/lf125,128,16,16,10,64,8,8,86,4,3,26324.892,0.9107295146
lf-1/lf126,128,16,16,10,64,8,8,50,4,3,26015.832,0.9298303385
lf-1/lf127,128,16,16,10,32,16,16,86,4,3,24891.709,0.871234477
lf-1/lf128,128,16,16,10,32,16,16,50,4,3,25049.185,0.90640763
lf-1/lf129,128,16,16,10,32,16,8,86,4,3,25376.832,0.9117982679
lf-1/lf130,128,16,16,10,32,16,8,50,4,3,26078.19,0.9182485016
lf-1/lf131,128,16,16,10,32,8,16,86,4,3,24980.417,0.876689976
lf-1/lf132,128,16,16,10,32,8,16,50,4,3,25511.014,0.9194141095
lf-1/lf133,128,16,16,10,32,8,8,86,4,3,24236.357,0.8967599909
lf-1/lf134,128,16,16,10,32,8,8,50,4,3,24780.408,0.9193351824
lf-1/lf135,128,16,16,10,0,0,0,0,4,3,21449.099,0.9208700591
lf-1/lf136,64,32,32,100,64,16,16,86,4,3,14684.296,0.8877156994
lf-1/lf137,64,32,32,100,64,16,16,50,4,3,19687.009,0.8991971307
lf-1/lf138,64,32,32,100,64,16,8,86,4,3,14343.978,0.8394532863
lf-1/lf139,64,32,32,100,64,16,8,50,4,3,14291.708,0.8116693968
lf-1/lf140,64,32,32,100,64,8,16,86,4,3,14314.139,0.8465689752
lf-1/lf141,64,32,32,100,64,8,16,50,4,3,14361.345,0.8025745682
lf-1/lf142,64,32,32,100,64,8,8,86,4,3,14541.599,0.8956309044
lf-1/lf143,64,32,32,100,64,8,8,50,4,3,14434.698,0.8703847485
lf-1/lf144,64,32,32,100,32,16,16,86,4,3,13545.7,0.8496051237
lf-1/lf145,64,32,32,100,32,16,16,50,4,3,13703.114,0.8520052299
lf-1/lf146,64,32,32,100,32,16,8,86,4,3,13337.577,0.843309135
lf-1/lf147,64,32,32,100,32,16,8,50,4,3,13327.474,0.8747430731
lf-1/lf148,64,32,32,100,32,8,16,86,4,3,13579.088,0.8634550616
lf-1/lf149,64,32,32,100,32,8,16,50,4,3,14122.954,0.8301069918
lf-1/lf150,64,32,32,100,32,8,8,86,4,3,13086.845,0.8417450112
lf-1/lf151,64,32,32,100,32,8,8,50,4,3,13250.138,0.8654390069
lf-1/lf152,64,32,32,100,0,0,0,0,4,3,10723.341,0.8374831122
lf-1/lf153,64,32,32,10,64,16,16,86,4,3,14985.002,0.8878389226
lf-1/lf154,64,32,32,10,64,16,16,50,4,3,16415.017,0.9036479408
lf-1/lf155,64,32,32,10,64,16,8,86,4,3,14342.571,0.8714061327
lf-1/lf156,64,32,32,10,64,16,8,50,4,3,14945.959,0.8747831788
lf-1/lf157,64,32,32,10,64,8,16,86,4,3,14237.036,0.8818202486
lf-1/lf158,64,32,32,10,64,8,16,50,4,3,14569.557,0.8834786754
lf-1/lf159,64,32,32,10,64,8,8,86,4,3,14808.356,0.9039775659
lf-1/lf160,64,32,32,10,64,8,8,50,4,3,14511.211,0.8744591281
lf-1/lf161,64,32,32,10,32,16,16,86,4,3,13895.236,0.8766608109
lf-1/lf162,64,32,32,10,32,16,16,50,4,3,13888.383,0.881412599
lf-1/lf163,64,32,32,10,32,16,8,86,4,3,13395.34,0.8917002766
lf-1/lf164,64,32,32,10,32,16,8,50,4,3,13913.23,0.9190750771
lf-1/lf165,64,32,32,10,32,8,16,86,4,3,13738.038,0.8984431824
lf-1/lf166,64,32,32,10,32,8,16,50,4,3,14024.526,0.8097934778
